# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
1.46E+01,-4.59E+02,6.30E+02,1.21E+02,-1.07E+02,-1.06E+02,2.20E+01,1.11E+02,1.52E+02,-5.48E+01,-5.04E+02,-8.51E+01,-2.54E+02,-1.06E+02,2.81E+02
-1.58E+01,-4.08E+02,6.30E+02,1.47E+02,-1.18E+02,-6.69E+01,1.62E+01,1.44E+02,1.55E+02,-8.09E+01,-5.07E+02,-9.90E+01,-2.55E+02,-6.09E+01,3.04E+02
-1.49E+01,-4.23E+02,6.30E+02,1.42E+02,-1.50E+02,-4.93E+01,1.82E+01,1.52E+02,1.70E+02,-1.14E+02,-5.10E+02,-9.82E+01,-2.56E+02,-4.83E+01,3.23E+02
-1.42E+01,-4.33E+02,6.30E+02,1.17E+02,-1.91E+02,-4.69E+01,1.37E+01,1.31E+02,2.00E+02,-1.92E+02,-5.22E+02,-1.27E+02,-2.69E+02,-6.29E+01,3.62E+02
-1.56E+01,-4.28E+02,6.30E+02,1.34E+02,-1.59E+02,-5.79E+01,5.60E+00,1.23E+02,1.85E+02,-1.00E+02,-5.16E+02,-9.59E+01,-2.64E+02,-7.07E+01,3.46E+02
-1.65E+01,-4.00E+02,6.30E+02,1.31E+02,-1.58E+02,-5.30E+01,1.55E+01,1.35E+02,1.84E+02,-9.83E+01,-5.18E+02,-9.63E+01,-2.66E+02,-5.59E+01,3.49E+02
-1.72E+01,-4.13E+02,6.30E+02,1.37E+02,-1.38E+02,-6.03E+01,1.86E+01,1.37E+02,1.76E+02,-9.70E+01,-5.19E+02,-1.04E+02,-2.67E+02,-5.59E+01,3.39E+02
-1.63E+01,-4.14E+02,6.30E+02,1.41E+02,-1.22E+02,-6.79E+01,2.98E+01,1.43E+02,1.83E+02,-9.52E+01,-5.33E+02,-8.76E+01,-2.81E+02,-5.51E+01,3.53E+02
-1.62E+01,-4.08E+02,6.30E+02,1.49E+02,-1.27E+02,-5.32E+01,2.39E+01,1.40E+02,1.86E+02,-9.82E+01,-5.33E+02,-9.85E+01,-2.81E+02,-7.17E+01,3.49E+02
-1.74E+01,-4.12E+02,6.30E+02,1.40E+02,-1.41E+02,-5.79E+01,1.98E+01,1.38E+02,1.81E+02,-9.88E+01,-5.27E+02,-9.82E+01,-2.75E+02,-5.71E+01,3.41E+02
-1.74E+01,-4.13E+02,6.30E+02,1.37E+02,-1.42E+02,-5.68E+01,1.95E+01,1.40E+02,1.81E+02,-9.57E+01,-5.32E+02,-9.78E+01,-2.80E+02,-5.89E+01,3.40E+02
-1.75E+01,-4.12E+02,6.30E+02,1.39E+02,-1.38E+02,-5.69E+01,2.08E+01,1.39E+02,1.79E+02,-9.65E+01,-5.42E+02,-9.80E+01,-2.90E+02,-5.84E+01,3.39E+02
-1.75E+01,-4.12E+02,6.30E+02,1.40E+02,-1.44E+02,-5.81E+01,2.01E+01,1.40E+02,1.83E+02,-9.59E+01,-5.60E+02,-9.89E+01,-3.08E+02,-5.95E+01,3.46E+02
-1.76E+01,-4.12E+02,6.30E+02,1.39E+02,-1.41E+02,-5.76E+01,1.83E+01,1.38E+02,1.78E+02,-9.74E+01,-5.55E+02,-9.85E+01,-3.03E+02,-5.78E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.40E+02,-1.44E+02,-5.86E+01,1.82E+01,1.38E+02,1.79E+02,-9.82E+01,-5.63E+02,-9.88E+01,-3.06E+02,-5.74E+01,3.40E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.46E+02,-5.90E+01,1.86E+01,1.38E+02,1.79E+02,-9.84E+01,-5.73E+02,-9.87E+01,-3.11E+02,-5.74E+01,3.40E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.44E+02,-5.85E+01,1.96E+01,1.38E+02,1.79E+02,-9.77E+01,-5.67E+02,-9.85E+01,-3.07E+02,-5.80E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.43E+02,-5.85E+01,1.94E+01,1.38E+02,1.79E+02,-9.75E+01,-5.68E+02,-9.83E+01,-3.04E+02,-5.84E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.41E+02,-5.84E+01,1.97E+01,1.38E+02,1.79E+02,-9.74E+01,-5.69E+02,-9.83E+01,-3.00E+02,-5.84E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.82E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.71E+02,-9.84E+01,-3.02E+02,-5.82E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.82E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.69E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.82E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.81E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.81E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.81E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.81E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
-1.76E+01,-4.13E+02,6.30E+02,1.39E+02,-1.42E+02,-5.81E+01,1.92E+01,1.38E+02,1.79E+02,-9.75E+01,-5.70E+02,-9.85E+01,-3.01E+02,-5.81E+01,3.39E+02
