# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
6.967605843898633466e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+02,0.000000000000000000e+00,3.150000000000000000e+02,5.455960043840000253e+02,-3.150000000000000000e+02,5.455960043840000253e+02,-6.300000000000000000e+02,0.000000000000000000e+00,-3.150000000000000000e+02,-5.455960043840000253e+02,3.150000000000000000e+02,-5.455960043840000253e+02
-7.158996069260979311e+00,-3.984432872005918114e+00,-3.000415851652474264e-02,6.300000000000000000e+02,-1.198865321245224172e-02,3.133305445674476459e+02,5.428933088102480724e+02,-3.205962449730265007e+02,5.447715834917851225e+02,-6.300000000000000000e+02,-2.370601331788049423e-02,-3.206091527435429498e+02,-5.450265536167410119e+02,3.133081635005348176e+02,-5.425303068479903459e+02
-8.156702908446678890e+00,-9.748730059029855965e+01,-5.545855177345384579e-01,6.300000000000000000e+02,-1.530784769604045248e-01,2.710417055573444713e+02,5.048376534605404231e+02,-4.000345184990641769e+02,5.326229152256134967e+02,-6.300000000000000000e+02,-3.869447731349114905e-01,-3.996110352342507213e+02,-5.368584072142007244e+02,2.702531182833494086e+02,-4.993791297436543459e+02
-8.890511189611434162e+00,-3.041172685075726463e+02,-2.804903556422027044e+00,6.300000000000000000e+02,-5.251951379632131545e-01,1.555123233458458571e+02,3.963350389689562689e+02,-6.007645807071702393e+02,5.192136024932723330e+02,-6.299999999999993179e+02,-1.560992829034263618e+00,-5.987106595074558300e+02,-5.300376336478433359e+02,1.537499963617740377e+02,-3.771085875842531436e+02
-9.219367182224761592e+00,-3.183884402097288557e+02,-3.697017152486830938e+00,6.299783333032232804e+02,-4.606010583185142782e-01,1.963863785817241308e+02,4.020989562178987740e+02,-5.830502586453129652e+02,5.286706460296256864e+02,-6.300000000000000000e+02,-1.874318190480961821e+00,-5.704083528168355315e+02,-5.341632910666520502e+02,1.846982514768870942e+02,-3.832235764545135908e+02
-9.174262166181467393e+00,-3.723153960625709828e+02,-6.601697135021506568e+00,6.299070026702149789e+02,-4.234550195141343343e-01,1.986158044070232620e+02,3.817616288457122096e+02,-6.137140413105847756e+02,5.360792933268008937e+02,-6.300000000000000000e+02,-2.738275876279202325e+00,-5.958399009477162735e+02,-5.361306763165198390e+02,1.587650221626901725e+02,-3.578018072821150781e+02
-9.284693130689658958e+00,-3.741025273356476646e+02,-3.420745771388102696e+01,6.290561955645040371e+02,7.761766055038941126e-01,3.177524798370923804e+02,4.087502930899477747e+02,-5.006467343843219169e+02,6.189222410115592083e+02,-6.299999999996880433e+02,-8.964773990702543216e+00,-4.411005058920451347e+02,-5.596973697015188236e+02,3.162808714985914094e+00,-3.593245959642986236e+02
-9.129938731568110200e+00,-1.277692533011657758e+02,-2.925509671058619787e+01,6.290385321067703899e+02,8.677094225121982918e-01,3.273180623666222004e+02,5.076929430473391562e+02,-3.453177535235073492e+02,6.083340367499973809e+02,-6.300000000000000000e+02,-7.287291951814045987e+00,-3.015927803712784225e+02,-5.562707031679739202e+02,8.623663018327653162e+01,-4.735540408738621636e+02
-9.034736677365218682e+00,-2.260544671551948284e+02,-2.513246748359443217e+01,6.282063740280939328e+02,-5.545842248793753093e-01,1.211336121890617505e+02,4.512635378353897977e+02,-6.300000000000000000e+02,5.673220195157940680e+02,-6.300000000000000000e+02,-9.146373774752673214e+00,-4.789754917264095866e+02,-5.329687768928033620e+02,2.053081838722522434e+02,-4.192567338702575626e+02
-9.791116667003322505e+00,-1.803650640809460413e+02,-3.665951969111766573e+01,6.283343945064283389e+02,7.931328713706256028e-01,3.035787268163221597e+02,4.876550562777242703e+02,-4.349538091926769994e+02,6.179341398021243776e+02,-6.299999999999995453e+02,-9.158967179540880466e+00,-3.169845900821661644e+02,-5.526667425805420635e+02,6.374167626586965696e+01,-4.479959155492805394e+02
-1.012701353215891054e+01,-3.395464244422029765e+02,-1.999384467903983875e+01,6.289131720664884142e+02,-3.066773806376493772e-02,2.079398996200320084e+02,4.064774248251885069e+02,-5.689870019511823784e+02,5.632180878580901435e+02,-6.300000000000000000e+02,-6.046590331241132432e+00,-5.371525526826925443e+02,-5.365712917955048624e+02,1.356208880631501188e+02,-3.785034240909657228e+02
-1.057312073552441944e+01,-3.327549055779739433e+02,-2.012747461985405195e+01,6.283567665030278704e+02,9.502899972515214955e-02,2.174290009758375390e+02,4.127620060247040783e+02,-5.677037240582670847e+02,5.625673656397649438e+02,-6.300000000000000000e+02,-6.194429144831353540e+00,-5.347140036739137940e+02,-5.350186452604039005e+02,1.377837051098750294e+02,-3.852058581586535411e+02
-1.062922009894069220e+01,-3.329707504465789043e+02,-2.395275462214600282e+01,6.256211354871708181e+02,6.875092810168238477e-01,2.170264833887026157e+02,4.184202347143020120e+02,-5.676154809932952503e+02,5.710278349567861369e+02,-6.300000000000000000e+02,-8.219461933301882794e+00,-5.332557481149104888e+02,-5.314020304853902417e+02,1.365886065314493862e+02,-3.919424373997529756e+02
-1.067371143356217189e+01,-3.327814738238513996e+02,-2.482421477106932528e+01,6.227092606487988178e+02,1.811225970395577534e+00,2.172021760697743673e+02,4.206220098582235778e+02,-5.687491440653618611e+02,5.739966923454080643e+02,-6.300000000000000000e+02,-1.052332005790546532e+01,-5.329815595136250295e+02,-5.303205674389138267e+02,1.364130985933024647e+02,-3.997089200356764991e+02
-1.022339901348711777e+01,-3.312809331790671195e+02,-2.933029054463456475e+01,6.002556718806112031e+02,1.414508994983541790e+01,2.196906322182180702e+02,4.363226803627686650e+02,-5.772402052232979486e+02,5.937033113849208803e+02,-6.300000000000000000e+02,-3.200870153724066824e+01,-5.309756840292784545e+02,-5.275449276448506453e+02,1.344342665294851713e+02,-4.738443862193322502e+02
-1.077938788154806460e+01,-3.322921161730279778e+02,-2.348664147622803355e+01,6.110378092738590112e+02,7.374730584408133893e+00,2.177943671962021881e+02,4.232862778943498370e+02,-5.717439286229744084e+02,5.758579264570672649e+02,-6.300000000000000000e+02,-1.798096816281824673e+01,-5.329506606622142044e+02,-5.329784607278998010e+02,1.364551328392358300e+02,-4.193851517742531883e+02
-1.079149873818820637e+01,-3.324953228369751628e+02,-1.631007421023974047e+01,6.099758629234568161e+02,1.209695721728572693e+01,2.171193707039166441e+02,4.157306161477270052e+02,-5.717826034438570559e+02,5.648166750485340799e+02,-6.300000000000000000e+02,-1.932495719078325536e+01,-5.343704387037037122e+02,-5.399022527745257776e+02,1.379348387997105760e+02,-4.056057522652116631e+02
-1.085598976078623146e+01,-3.327489414984659675e+02,-1.736091378336754332e+01,6.075707738747106532e+02,1.614244563870673943e+01,2.174195130737019213e+02,4.174542534119769357e+02,-5.718403964364832746e+02,5.692323300061320879e+02,-6.300000000000000000e+02,-2.346649852281980486e+01,-5.336796602620344174e+02,-5.380480391812562857e+02,1.370959940716239771e+02,-4.127763020810922399e+02
-1.135652505217940700e+01,-3.352190758929165213e+02,5.743564934166265346e-01,5.916601515728581262e+02,7.746378682384570880e+01,2.172634570349309797e+02,4.052818467135759875e+02,-5.720373665683961235e+02,5.659748573817646502e+02,-6.300000000000000000e+02,-6.894460311613335080e+01,-5.327586269824327019e+02,-5.473751457099442632e+02,1.360592880571297485e+02,-4.181997669751705189e+02
-1.137444359465620103e+01,-3.406725089337713825e+02,6.847692112447468560e+01,5.421451877133590642e+02,2.775115971554350836e+02,2.175183762039449960e+02,3.813239907109689852e+02,-5.726442888917085838e+02,5.592420797341720800e+02,-6.300000000000000000e+02,-2.253130058388402404e+02,-5.288183171476864572e+02,-5.797875468287826379e+02,1.346752335186447453e+02,-4.375123306050478504e+02
-1.178129564136971119e+01,-3.357763661723437281e+02,1.836389657173120327e+01,5.828361526697021873e+02,1.324287392804598085e+02,2.172955521527280496e+02,4.019515940909708434e+02,-5.717353403051561145e+02,5.666092285079056410e+02,-6.300000000000000000e+02,-1.109206856808492745e+02,-5.310919234279052716e+02,-5.581357729074682084e+02,1.363153059380939851e+02,-4.230591233305207197e+02
-1.211958076690665287e+01,-3.358427813531469042e+02,2.705513119052750071e+01,5.725335063710654140e+02,1.768093319594540560e+02,2.170627278097250041e+02,3.989086381145134510e+02,-5.717192293239315859e+02,5.663979526015767760e+02,-6.300000000000000000e+02,-1.432201794146770624e+02,-5.297955859995406627e+02,-5.701196447409638495e+02,1.370124923024546888e+02,-4.263516014037378454e+02
-1.223292650171450191e+01,-3.335761111656943854e+02,1.170267197814341920e+01,5.718933292702471363e+02,1.948482006629460557e+02,2.175965388970772949e+02,4.146162941322256756e+02,-5.704398637542972210e+02,5.732865368792502068e+02,-6.300000000000000000e+02,-1.455255786832236424e+02,-5.286139619069599576e+02,-5.841586920153634992e+02,1.396072775592402024e+02,-4.262984905025617195e+02
-1.228269242164700970e+01,-3.345539092859529546e+02,1.541200298265616908e+01,5.710613515334688373e+02,2.020273467232235021e+02,2.179990296820373601e+02,4.143682704441090436e+02,-5.706674951794486788e+02,5.701428420077900228e+02,-6.300000000000000000e+02,-1.466210881603703342e+02,-5.298814082390836120e+02,-5.845750379250252990e+02,1.398157141563958987e+02,-4.242252244074386454e+02
-1.118021702556788632e+01,-3.428256945228297354e+02,4.435175204938974503e+01,5.637829262707181215e+02,3.109089795454074192e+02,2.209651757678394972e+02,4.245637819585047055e+02,-5.711471129308972650e+02,5.468602742247015840e+02,-6.300000000000000000e+02,-1.651960340845244275e+02,-5.400842836970921326e+02,-6.002931736544375099e+02,1.432422140045715651e+02,-4.027248646581243747e+02
-1.234819055905940566e+01,-3.358071489773721510e+02,1.738766297458182564e+01,5.708244501775682238e+02,2.170514647450371513e+02,2.180646470638876906e+02,4.185487082303538955e+02,-5.705695436668048615e+02,5.673928169052758221e+02,-6.300000000000000000e+02,-1.465244471942231712e+02,-5.313313731813969980e+02,-5.861967319435336776e+02,1.402287085676841514e+02,-4.201754973064936394e+02
-1.236594514775537768e+01,-3.357087151027242271e+02,1.551089053678451890e+01,5.716764821926302602e+02,2.191240829472573068e+02,2.172650594505497565e+02,4.219202490785204418e+02,-5.703698878648345953e+02,5.681275540272089302e+02,-6.299999999999998863e+02,-1.412162233516180834e+02,-5.311308624531529858e+02,-5.841599980216350332e+02,1.400725313967412831e+02,-4.182757009354548359e+02
-1.237663914708606860e+01,-3.354690878942192285e+02,1.585164722533076720e+01,5.718067237518633874e+02,2.213257510407671020e+02,2.169908252458847073e+02,4.229453712167403410e+02,-5.703688398438350760e+02,5.690239278226307533e+02,-6.300000000000000000e+02,-1.394671631116215451e+02,-5.307589679813652310e+02,-5.809110675534883512e+02,1.397315746110215002e+02,-4.184925419672113094e+02
-1.238090019209793091e+01,-3.348446470350485242e+02,1.741233760625818050e+01,5.718553247868630933e+02,2.273432920445428920e+02,2.169452617102322449e+02,4.245914233235698703e+02,-5.705238137735876762e+02,5.707349518615748138e+02,-6.300000000000000000e+02,-1.378957445727751292e+02,-5.300187040962853189e+02,-5.703807374572575100e+02,1.388243377763661499e+02,-4.195755952662511277e+02
-1.238988238268617081e+01,-3.350660834177544984e+02,1.716776068113432530e+01,5.715027582400297206e+02,2.277982783199985022e+02,2.173253944914067972e+02,4.241111682996596528e+02,-5.705874278853696069e+02,5.694524627954566540e+02,-6.300000000000000000e+02,-1.406643923419395605e+02,-5.305847957594712625e+02,-5.755099694015411842e+02,1.394273828269063529e+02,-4.190062881074441634e+02
-1.239111783644000120e+01,-3.349888344651473631e+02,1.696528605240100518e+01,5.714745152350641320e+02,2.287558952889782802e+02,2.173746658946797936e+02,4.245356158606272743e+02,-5.706470005192780945e+02,5.694129812016363985e+02,-6.300000000000000000e+02,-1.406720905049674570e+02,-5.306734850799768992e+02,-5.745457552294534480e+02,1.394472067041515402e+02,-4.186468135768803904e+02
-1.239354310881978627e+01,-3.348753777626301940e+02,1.651924171654428264e+01,5.713856112918415420e+02,2.321383614725575626e+02,2.174466727246718563e+02,4.260229072978422096e+02,-5.708091366592753957e+02,5.694898199466787219e+02,-6.299999999999998863e+02,-1.413197496482277984e+02,-5.310208879618728588e+02,-5.727051991987734709e+02,1.395255046175618929e+02,-4.176337346186915056e+02
-1.243217948395960271e+01,-3.343127747791493789e+02,1.438968430350480254e+01,5.707537251644362186e+02,2.564825858081697447e+02,2.178630811649271664e+02,4.368861952890354132e+02,-5.717018404780659466e+02,5.702127366445255348e+02,-6.299999999999998863e+02,-1.454808547492400805e+02,-5.330714695053314927e+02,-5.632567814462197475e+02,1.399645614355820555e+02,-4.123285590461353536e+02
-1.244300782988831600e+01,-3.340672946775657124e+02,1.291298856982616883e+01,5.703852391012743510e+02,2.658908401757867068e+02,2.179489749113358528e+02,4.446645100696786699e+02,-5.720238631507737637e+02,5.714207133932553688e+02,-6.300000000000000000e+02,-1.460461784465506128e+02,-5.337849866450669651e+02,-5.598919387590946144e+02,1.400368605266662883e+02,-4.115431090899448918e+02
-1.236003834868937723e+01,-3.334832840949580941e+02,5.138408497832323008e+00,5.690194103458250083e+02,2.767617057102138460e+02,2.170190914360559873e+02,4.888712205433589020e+02,-5.721640630816671091e+02,5.824848592710445701e+02,-6.300000000000000000e+02,-1.371966248559896258e+02,-5.339517059504453300e+02,-5.587725397512566587e+02,1.390297228887762913e+02,-4.223017571163212551e+02
-1.253999550999768253e+01,-3.344140253166219168e+02,1.309463616114776485e+01,5.707082928229108347e+02,2.569350710012392369e+02,2.172832745635600133e+02,4.525667097282701548e+02,-5.712750638627759372e+02,5.747295409707342060e+02,-6.299999999999998863e+02,-1.416801756673571333e+02,-5.323814632641807520e+02,-5.677206442348033306e+02,1.392503035163282448e+02,-4.187204714381420558e+02
-1.255535615608227928e+01,-3.346149160803381051e+02,1.515476086085366347e+01,5.712263610999225421e+02,2.575580876400023840e+02,2.171140028150588250e+02,4.537743355726308323e+02,-5.708399471460688801e+02,5.740634860107397799e+02,-6.299999999999998863e+02,-1.421622203799816191e+02,-5.320589329246719217e+02,-5.709888318337754072e+02,1.390867583491899779e+02,-4.180623384795940751e+02
-1.256220915798026461e+01,-3.345063245852511500e+02,1.759548735461507363e+01,5.712558043485171311e+02,2.614786736248079819e+02,2.169982128329105535e+02,4.557836518654800670e+02,-5.705514953536912799e+02,5.736508408223012339e+02,-6.299999999999998863e+02,-1.429591609261452447e+02,-5.316952305258257638e+02,-5.729670296624667571e+02,1.389132422310805168e+02,-4.174431401862644861e+02
-1.256322506228087121e+01,-3.344366624977460560e+02,1.744019825619100672e+01,5.711031931188442741e+02,2.608785722308347204e+02,2.170173185566900713e+02,4.552055391056574081e+02,-5.705350128207629723e+02,5.736673755764373936e+02,-6.300000000000000000e+02,-1.423142947623336738e+02,-5.315669512315037082e+02,-5.740552831090674317e+02,1.389387671897562200e+02,-4.177831899802932867e+02
-1.256394184879168030e+01,-3.343979421942353838e+02,1.695363506558038225e+01,5.710761064121535355e+02,2.614101249983725097e+02,2.170340734693440936e+02,4.549283115892375235e+02,-5.705829459084721975e+02,5.739774911903257362e+02,-6.300000000000000000e+02,-1.416156066291169680e+02,-5.315452870546577060e+02,-5.741171161456624077e+02,1.388893314211488814e+02,-4.179646970819113676e+02
-1.256414837197362999e+01,-3.344060295695624632e+02,1.684687058421704364e+01,5.711197770994449456e+02,2.620208238646873724e+02,2.170346344756485450e+02,4.548277290340956256e+02,-5.706259980392165971e+02,5.741305129701155465e+02,-6.300000000000000000e+02,-1.413877822728838396e+02,-5.315345244309175996e+02,-5.741944652811806691e+02,1.388030169989451963e+02,-4.180859125740344666e+02
-1.256420870869435547e+01,-3.344149462828719948e+02,1.682575819446133281e+01,5.711364059291187232e+02,2.622193623748738673e+02,2.170361090145736398e+02,4.548599448961362555e+02,-5.706606126236662249e+02,5.741358931097252025e+02,-6.300000000000000000e+02,-1.413834394006724438e+02,-5.315453241257134778e+02,-5.742401053171913645e+02,1.387502565231330038e+02,-4.181233065536041522e+02
-1.256429513661407604e+01,-3.344227932020022536e+02,1.681687291353727431e+01,5.711482228283555287e+02,2.623624813824239936e+02,2.170412034952881299e+02,4.549027852231368456e+02,-5.707263456962925829e+02,5.740976074314096422e+02,-6.300000000000000000e+02,-1.414277040412078748e+02,-5.315710772005094213e+02,-5.743253556713974604e+02,1.386485468826896010e+02,-4.181394831331560908e+02
-1.256435661982788510e+01,-3.344123372930843630e+02,1.682661759339845986e+01,5.711423036992194966e+02,2.622901911583679748e+02,2.170466433138959701e+02,4.549181359172894759e+02,-5.707727903468180557e+02,5.740668203919699408e+02,-6.300000000000000000e+02,-1.414715237569876649e+02,-5.315937549042283763e+02,-5.743805346491583350e+02,1.385648077940762732e+02,-4.180934077367522832e+02
-1.256440276580879001e+01,-3.343824247329334298e+02,1.685177718192447927e+01,5.711276195799856623e+02,2.620838805561502909e+02,2.170502658860509939e+02,4.549074031657510204e+02,-5.707941940831946113e+02,5.740752728903109983e+02,-6.299999999999998863e+02,-1.415031520705519199e+02,-5.316131300187194029e+02,-5.744042704442639433e+02,1.385043410249929821e+02,-4.179986495495522263e+02
-1.256442354623056268e+01,-3.343527216814986787e+02,1.687261037517116335e+01,5.711191794644170159e+02,2.619408943498298186e+02,2.170486346319019333e+02,4.548901664667807268e+02,-5.707845053444779069e+02,5.741219156509008599e+02,-6.300000000000000000e+02,-1.415086709073105169e+02,-5.316240135602105283e+02,-5.743990466662662584e+02,1.384922184681281578e+02,-4.179297877396718945e+02
-1.256443621662306853e+01,-3.343285512200948801e+02,1.688600986281286254e+01,5.711179603726623100e+02,2.618872205455537028e+02,2.170430321450407121e+02,4.548782548206276601e+02,-5.707640717420038072e+02,5.741766184934296007e+02,-6.300000000000000000e+02,-1.415055607930301562e+02,-5.316353960767132776e+02,-5.743926956078311150e+02,1.384978804742438285e+02,-4.178992275265301259e+02
-1.256444673140929780e+01,-3.343101722625412435e+02,1.689277274274957463e+01,5.711215054307032233e+02,2.618977915449645479e+02,2.170339246783267129e+02,4.548716537776771816e+02,-5.707405029536218990e+02,5.742198390494619389e+02,-6.300000000000000000e+02,-1.415016198808732213e+02,-5.316524553265039685e+02,-5.743951919483844222e+02,1.385053596986691673e+02,-4.179063649009415826e+02
-1.256445533474630238e+01,-3.343004805147027696e+02,1.689269202411134074e+01,5.711265087255227400e+02,2.619458657492383509e+02,2.170230325192784164e+02,4.548687062094637099e+02,-5.707191221491659689e+02,5.742292063804607096e+02,-6.299999999999998863e+02,-1.414991717087949610e+02,-5.316742733438948108e+02,-5.744067970920384596e+02,1.385062573607284833e+02,-4.179501427723159850e+02
-1.256446010304386718e+01,-3.343012786939524403e+02,1.688777322444075679e+01,5.711285306111137743e+02,2.619862475200122844e+02,2.170155471580134758e+02,4.548671979966518393e+02,-5.707074551722938622e+02,5.741975640572484281e+02,-6.299999999999998863e+02,-1.414980202402908276e+02,-5.316907344746862236e+02,-5.744177474632841722e+02,1.384984712181181976e+02,-4.180048557663325255e+02
-1.256446152563647445e+01,-3.343057494835992998e+02,1.688336085887906179e+01,5.711270530702119004e+02,2.619915326509597548e+02,2.170139139132427317e+02,4.548653430072660626e+02,-5.707051724362112282e+02,5.741597066549251167e+02,-6.300000000000000000e+02,-1.414969070842542465e+02,-5.316951276403882503e+02,-5.744193013378019259e+02,1.384898517030537448e+02,-4.180344970980981998e+02
-1.256446173415593925e+01,-3.343075195799591484e+02,1.688159960622090239e+01,5.711254795224248255e+02,2.619819377050833964e+02,2.170146578529897283e+02,4.548636761714064960e+02,-5.707053328592580783e+02,5.741436584049519070e+02,-6.300000000000000000e+02,-1.414959475419723844e+02,-5.316936076704694187e+02,-5.744160369860292121e+02,1.384863390140607464e+02,-4.180391566207210303e+02
-1.256446175367469209e+01,-3.343074349605485622e+02,1.688097077047936878e+01,5.711250010280724609e+02,2.619767537780485327e+02,2.170150843678202648e+02,4.548628577857261917e+02,-5.707050515907474164e+02,5.741408342930651543e+02,-6.300000000000000000e+02,-1.414956082052962927e+02,-5.316923801008503006e+02,-5.744139362611521165e+02,1.384857398830002353e+02,-4.180378873597499023e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
-1.256446175532108711e+01,-3.343071742809788702e+02,1.688058593470104540e+01,5.711249832693832786e+02,2.619756860554361992e+02,2.170151445285385989e+02,4.548626078539634250e+02,-5.707047264108440459e+02,5.741408206368762421e+02,-6.300000000000000000e+02,-1.414956674447606417e+02,-5.316920027436153759e+02,-5.744133082280236522e+02,1.384857167608842303e+02,-4.180372149783091231e+02
